Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Liver Cancer International,"93,64 %","87,5 %",6,"2,27",0,"1,62"
Journal of Health Medicine and Nursing,"98,13 %","3,65 %",3,"0,2",0,0
Nurse and Health Jurnal Keperawatan,100 %,"9,63 %","1,86","1,19",0,0
Mymensingh Medical Journal,0 %,"7,46 %","11,87","1,35",0,"0,55"
Journal of Clinical Psychology in Medical Settings,"36,8 %","5,69 %","4,14","6,55",0,"2,53"
Advances in Peritoneal Dialysis,"33,57 %","3,06 %","2,29","5,94",0,"6,67"
Geomagnetism and Aeronomy,"4,48 %","18,39 %","24,14","3,55",0,"0,2"
Journal de Chirurgie Viscérale,"25,7 %",4 %,"10,52","4,01",0,"1,21"
Experimental Animals,100 %,5 %,"3,43","8,15",0,"0,37"
Current Opinion in Supportive and Palliative Care,"27,39 %","6,85 %","3,14","6,79",0,"5,07"
Journal of Environmental Health Science and Engineering,100 %,"4,15 %","2,43","10,4",0,"0,12"
International Journal of Nursing Practice,"20,9 %","3,27 %","2,14","5,75",0,"0,39"
Mathematics and Computers in Simulation,"20,53 %","1,55 %","4,43","18,01",0,"0,06"
Gene Reports,"8,59 %","8,22 %","20,85","3,53",0,"0,14"
Lipids,"20,48 %","4,46 %","1,71","8,06",0,3
Journal de Mycologie Médicale,"18,7 %","15,99 %","11,86","5,53",0,"1,4"
Current Plant Biology,100 %,"9,32 %","3,14","6,65",0,"1,63"
Journal of Clinical Research and Reports,"80,97 %","12,59 %","5,14","0,1",0,0
Journal of Basic Microbiology,"21,4 %","1,46 %","1,86","5,02",0,"1,67"
Annales de Chirurgie Plastique Esthétique,"40,08 %","5,07 %","3,14",2,0,"0,39"
Annals of Endocrinology and Metabolism,100 %,100 %,"1,71","1,28",0,0
Fujita Medical Journal,100 %,"12,89 %","3,57","1,69",0,"0,72"
Canadian Journal of Emergency Medicine,"86,09 %","0,8 %","2,43","2,63",0,"4,9"
Pharmacogenetics and Genomics,"43,52 %","16,09 %",4,"8,19",0,"1,67"
Acta Chirurgiae Plasticae,"1,14 %",15 %,"2,14",1,0,"0,09"
Biology of Sport,100 %,"4,1 %",3,"7,42",0,"3,44"
Sci,"99,59 %","4,48 %","1,71","16,08",0,"0,88"
OBM Transplantation,"97,76 %","12,98 %","3,91","0,77",0,0
日本消化器病学会雑誌,0 %,"22,38 %","26,86","0,65",0,"0,32"
Immunogenetics,"53,12 %","11,45 %","4,86","14,87",0,"3,66"
Neurospine,100 %,"5,65 %","5,86","7,45",0,"0,42"
Brazilian Journal of Biological Sciences,"98,16 %","8,18 %","1,86","0,56",0,0
Journal of Plant Pathology,"48,94 %","1,12 %","2,29","4,33",0,"0,17"
Neurosurgical Focus Video,100 %,"24,35 %",12,"0,87",0,"6,82"
Journal of Orthopaedic Science,"19,82 %","6,34 %","12,57","5,42",0,"0,33"
Indian Journal of Entomology,"53,45 %","1,09 %","2,14","1,14",0,0
Indian Journal of Health Sciences and Biomedical Research (KLEU),100 %,"4,71 %","2,29","1,48",0,"0,08"
Sugar Tech,"7,65 %","1,81 %","2,29",5,0,0
Geodesy and Geodynamics,100 %,"8,47 %",5,"9,39",0,"0,69"
Clinical and Experimental Obstetrics & Gynecology,100 %,"5,13 %","11,93","0,8",0,"0,02"
Network Modeling Analysis in Health Informatics and Bioinformatics,"32,65 %","12,17 %","4,57","4,87",0,"0,43"
Journal of Soils and Sediments,"18,39 %","1,83 %","5,14","10,64",0,"0,61"
World Journal of Emergency Medicine,"98,37 %","5,47 %","3,86","5,24",0,"0,26"
Sport Sciences for Health,"31,53 %","2,26 %",2,"3,89",0,"0,41"
Advanced Synthesis & Catalysis,"26,25 %","0,4 %",2,"23,78",0,"4,52"
Animal - science proceedings,"23,94 %","0,6 %","2,07","0,18",0,0
Workplace Health & Safety,"53,92 %","3,75 %","2,29","4,84",0,"0,8"
Vascular Specialist International,100 %,"18,97 %","6,86","3,26",0,"0,24"
Journal of Acute Disease,100 %,"6,84 %","2,57","1,48","0,03",0
Liver Research,100 %,"30,32 %","9,57","9,33",0,"15,12"
Solar Energy and Sustainable Development,100 %,"12,15 %","1,86","4,67",0,0
International Journal of Scientific Research in Computer Science Engineering and Information Technology,"95,99 %","0,96 %","2,14","2,21",0,0
Current Opinion in HIV and AIDS,"42,15 %","9,63 %",3,"11,9",0,"10,35"
Pediatric Oncall,100 %,"4,47 %",2,"0,73",0,0
Annals of Noninvasive Electrocardiology,100 %,"11,52 %","8,57","5,44",0,"1,49"
Pediatric and Developmental Pathology,"14,15 %","41,3 %","29,14","4,37",0,"1,96"
Frontiers in Bioscience-Scholar,"72,73 %","11,02 %","1,86","10,36",0,"2,09"
Scilight,"26,53 %","0,73 %","2,43","0,05",0,"4,09"
Journal of Transcatheter Interventions,"97,11 %","6,7 %","1,71","0,08",0,"0,06"
Horticultural Plant Journal,100 %,"13,15 %","9,71","13,84",0,"0,11"
Cell Division,100 %,"14,77 %","1,86","12,82",0,"1,38"
Channels,100 %,"14,81 %","4,57","12,23",0,"3,3"
Molecular Plant Pathology,100 %,"3,45 %","3,57","24,15",0,"10,53"
Asian Journal of Medical Research,"88,51 %","5,6 %","1,86","0,18",0,0
Radiologia Brasileira,"99,9 %","8,85 %","7,5","6,74",0,"0,66"
Musculoskeletal Care,"56,03 %","3,63 %","2,14","8,45",0,"2,94"
Journal of Endocrinology Research,100 %,100 %,"5,29","0,47",0,0
Natural Product Reports,"40,43 %","3,13 %","2,14","21,72",0,"4,69"
Stomatological Disease and Science,100 %,100 %,"2,86","3,19",0,0
Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,"98,42 %","1,8 %","2,43","0,87",0,0
Acta Gastroenterologica Latinoamericana,100 %,"23,94 %","7,29","0,22",0,"0,08"
La Pediatria Medica e Chirurgica,100 %,"15,31 %","2,14","2,54",0,"0,4"
Journal of Wound Care,"9,14 %","1,97 %",4,"3,19",0,"0,89"
HLA,"11,92 %","3,33 %","11,14","4,23",0,"0,61"
Microbial Cell Factories,100 %,"1,3 %","2,92","14,66",0,"3,05"
Prehospital and Disaster Medicine,"59,59 %","1,63 %","4,29","5,11",0,"2,84"
Acta Orthopaedica,100 %,"1,94 %",2,"15,46",0,"1,07"
Applied Biochemistry and Microbiology,"4,86 %","1,9 %","2,88","3,53",0,"0,07"
"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences","4,2 %","2,1 %","1,71","3,03",0,"0,16"
Molecular and Cellular Pediatrics,100 %,"34,83 %","4,43","15,77",0,"1,32"
Keimyung Medical Journal,100 %,15 %,"1,71","0,13",0,0
Microbiology Research,100 %,"7,42 %","4,43","2,17",0,"1,78"
Journal of International Society of Preventive and Community Dentistry,"97,7 %","4,4 %","3,29","4,84",0,"0,33"
Revista Médica del Hospital José Carrasco Arteaga,"95,92 %","19,73 %","4,14",0,0,0
The Knee,"19,43 %","1,11 %","1,86","3,67",0,"0,8"
Journal of Prosthetic Dentistry,"16,75 %","1,21 %","3,71","2,81",0,"2,15"
Open Journal of Natural Science,"4,92 %","3,34 %","3,14","0,06",0,0
The American Journal of Bioethics,"26,61 %","0,83 %","2,43","3,7",0,"2,33"
African Journal of Biotechnology,"98,85 %","3,36 %","2,14","2,58",0,0
Polar Research,100 %,"8,74 %","2,29","8,25",0,"1,27"
International Journal of Homoeopathic Sciences,"99,82 %","1,42 %","1,86","0,57",0,"0,1"
Revista chilena de obstetricia y ginecología,100 %,"7,47 %","2,7","0,74",0,"1,41"
Remote Sensing in Earth Systems Sciences,"22,68 %","15,38 %","2,29","7,06",0,"0,25"
3D Printing in Medicine,100 %,"9,63 %","2,57","16,2",0,"4,42"
Nosotchu,"98,98 %","9,16 %","5,14","0,24",0,"0,11"
JOURNAL OF CARDIO-VASCULAR-THORACIC ANAESTHESIA AND INTENSIVE CARE SOCIETY,"71,46 %","5,77 %","1,71","0,15",0,0
Anaesthesiology Intensive Therapy,100 %,"9,02 %","5,29","5,1",0,"1,99"
Critical Reviews in Analytical Chemistry,"6,54 %","2,61 %",2,"11,55",0,"0,44"
Tetrahedron Letters,"12,08 %","0,58 %","3,36","7,07",0,"0,2"
Academia Letters,"5,15 %","0,38 %","2,43",0,0,0
Izvestiya of Saratov University Earth Sciences,"93,05 %","7,25 %","2,14","0,52",0,0
Oral and Maxillofacial Surgery,"24,87 %","12,15 %","10,57","4,01",0,"0,76"
Journal of Vascular Research,"57,94 %","6,73 %",2,"8,25",0,"2,05"
Vietnam Journal of Diabetes and Endocrinology,"62,49 %","76,25 %","17,43","0,07",0,0
Tetrahedron,"17,03 %","1,12 %","5,86","5,25",0,"0,25"
Topics in Clinical Nutrition,"5,52 %","5,66 %","1,71","0,79",0,"1,64"
Adicciones,"98,24 %","10,68 %","3,57","3,88",0,"3,23"
Artery Research,"71,34 %","4,77 %","4,29","0,6",0,"0,5"
Agricultural Science Digest - A Research Journal,"99,32 %","1,87 %","2,14","0,69",0,0
Human Gene,"10,6 %","9,57 %","13,76","1,74",0,"1,07"
Optical and Quantum Electronics,"15,96 %","0,4 %","2,43","7,08","0,17",0
Geospatial Health,100 %,"16,39 %","7,14","6,03",0,"1,32"
British Poultry Science,"18,48 %","3,74 %","3,43","5,3",0,"0,24"
Journal of Bodywork and Movement Therapies,"15,29 %","1,07 %","1,86","2,49",0,"2,16"
Vasa,"26,26 %","9,77 %",6,"8,36",0,"1,77"
Science and Innovations in Medicine,"97,92 %","9,74 %","4,86","0,27",0,0
Frontiers in Rehabilitation Sciences,100 %,"1,93 %",2,"3,19",0,"1,94"
International Journal of Applied and Basic Medical Research,"89,62 %","20,46 %","11,43","2,46",0,"0,47"
Journal of Herpetological Medicine and Surgery,"2,25 %","8,62 %","2,86","3,11",0,"0,12"
Chemical Physics Letters,"12,05 %","0,25 %","1,86","5,75",0,"0,07"
Cardiology Plus,100 %,"9,27 %",2,"0,67",0,0
Toxicologie Analytique et Clinique,"19,89 %","2,06 %","3,57","0,4",0,"0,6"
BJR|Open,100 %,"12,6 %","4,36","4,27",0,"7,54"
Medical Bulletin of the Main Military Clinical Hospital named after N N  Burdenko,0 %,"16,16 %","2,29","0,06",0,0
Open access Journal of Neurology & Neurosurgery,100 %,"7,3 %","2,43","0,2",0,0
Japanese Journal of Infection Prevention and Control,100 %,"7,72 %","2,71","0,06",0,"0,19"
Case Reports in Anesthesiology,100 %,"19,79 %","5,43","2,56",0,"0,67"
Pediatric Emergency Medicine Practice,0 %,"13,93 %","2,43","2,82",0,"1,9"
World Journal of Meta-Analysis,100 %,"8,96 %","1,71","1,26",0,"0,03"
Molecular and Biochemical Parasitology,"35,19 %","33,67 %","14,29","6,59",0,"3,48"
The Journal of Cardiovascular Nursing,"47,03 %","2,76 %","2,57",10,0,"1,51"
JBNC - JORNAL BRASILEIRO DE NEUROCIRURGIA,"97,13 %","7,5 %","8,92","0,09",0,0
Nuklearmedizin - NuclearMedicine,"6,88 %","3,18 %","14,38","1,12",0,"0,13"
Infectious Disease Modelling,100 %,"11,76 %","7,71","10,65",0,"1,99"
泌尿器科紀要,0 %,"13,5 %","8,52","1,03",0,"0,45"
Taiwan Journal of Ophthalmology,100 %,"18,24 %","13,29","3,37",0,"0,36"
Current Dermatology Reports,"35,67 %","13,94 %","4,14","7,68",0,"0,9"
Clinical Nursing Research,"23,2 %","3,03 %",2,"4,39",0,"1,46"
Drugs of the Future,"0,48 %","6,24 %","4,71","0,46",0,0
Chemistry of Natural Compounds,"3,7 %","0,94 %","2,57","3,61",0,0
Journal of Addictive Diseases,"20,54 %","12,72 %","6,29","5,2",0,"2,35"
Monitoring systems of environment,"97,54 %","10,51 %","4,71","0,43",0,0
Cosmic Research,"6,98 %","6,84 %","3,86","1,53",0,"0,03"
Journal of Ocular Pharmacology and Therapeutics,"29,14 %","4,01 %",3,"9,34",0,"2,46"
Journal of Saidu Medical College Swat,"91,66 %","15,85 %","7,86","0,07",0,0
Journal of Pediatric Intensive Care,"59,55 %","21,79 %","13,57","2,27",0,"1,45"
Indian Journal of Plastic Surgery,100 %,"4,18 %","3,14","5,15",0,"0,04"
Physical Sciences Reviews,"10,85 %","1,89 %",2,"6,03",0,"0,04"
JOURNAL OF BONE MARROW TRANSPLANTATION AND CELLULAR THERAPY,100 %,"47,89 %","9,71","0,1",0,0
Revista Científica Multidisciplinar Núcleo do Conhecimento,"99,37 %","0,68 %","4,21","0,22",0,0
Statistics in Biopharmaceutical Research,"48,37 %","3,66 %","2,29","2,97",0,"0,83"
International Journal of Translational Medicine,100 %,"11,19 %","2,29","2,09",0,"0,71"
Journal of Pharmacy Technology,"82,45 %","4,2 %","1,71","5,34",0,"2,02"
JMIRx Med,100 %,"4,81 %",2,"2,81",0,"2,04"
Physiotherapy Theory and Practice,"24,54 %","3,73 %","7,43","4,11",0,2
Undersea and Hyperbaric Medicine,"0,53 %","5,21 %","2,86","4,07",0,"0,23"
Endocrine Oncology,100 %,"39,8 %","2,79","1,85",0,"7,62"
Cyprus Journal of Medical Sciences,"85,15 %","8,49 %","5,86","0,34","0,04",0
Journal of Entomological Research,"0,72 %","1,78 %",2,"0,95",0,0
Acta Radiologica Open,100 %,"22,99 %","8,57","3,82",0,"0,22"
Environmental Biology of Fishes,"21,43 %","1,76 %",2,"4,74",0,"2,62"
Journal of Mind and Medical Sciences,100 %,"7,23 %","1,71","0,81",0,0
Cardiovascular Therapeutics,100 %,"6,19 %",2,"7,98",0,"3,68"
International Journal of Surgical Case Reports,"97,69 %","36,17 %","2,43","0,27",0,0
Asian Pacific Journal of Reproduction,100 %,"6,08 %","2,27","4,28",0,"0,06"
Investigative Magnetic Resonance Imaging,100 %,"22,83 %","7,14","1,34",0,"0,23"
Journal of Helminthology,"25,25 %","6,12 %","5,57","4,56",0,"3,72"
Journal of Human Hypertension,"40,95 %","1,58 %","1,78","8,9",0,"4,07"
Annals of Hematology & Oncology,"98,64 %","58,75 %","13,43","0,3",0,0
Therapeutische Umschau,"1,5 %","9,51 %",7,"1,18",0,"0,38"
Current Transplantation Reports,"47,27 %","6,19 %","1,86","1,75",0,"0,55"
Asian Journal of Biology,"94,12 %","4,86 %",2,"0,2",0,0
Neurochemical Journal,"4,02 %","5,18 %","2,49","2,06",0,0
The New Scientist,"3,55 %","0,2 %","4,36","0,23",0,0
Carbohydrate Research,"21,37 %","2,5 %","3,57","7,04",0,"3,72"
AJSP Review and Reports,"11,48 %","30,06 %","13,36","0,73",0,"0,74"
Asian Journal of Environment & Ecology,"95,92 %","4,71 %",2,"0,55",0,0
Asian Journal of Research in Zoology,"95,36 %","11,59 %","2,29","0,2",0,0
Biostatistics,"74,22 %","4,57 %","2,14","4,94",0,"4,81"
Applied Intelligence,"17,58 %","0,36 %","1,86",15,0,"2,21"
British Medical Bulletin,"62,54 %","5,91 %","1,71","19,12",0,"3,33"
心身医学,0 %,"3,56 %","2,71","0,09",0,"0,37"
Current Journal of Applied Science and Technology,"94,15 %","0,87 %","2,75","1,15",0,"0,41"
Chonnam Medical Journal,"98,61 %","8,99 %","3,43","6,66",0,"1,06"
Zeitschrift für Geburtshilfe und Neonatologie,"3,15 %","2,5 %","6,71","0,58",0,"0,29"
Case Reports in Radiology,100 %,"40,98 %","7,14","2,59",0,"0,23"
Cardiovascular Revascularization Medicine,"9,78 %","2,62 %","9,71","3,32",0,"3,46"
Journal of Clinical and Investigative Surgery,100 %,"16,79 %","3,29","0,37",0,0
Optik,"4,54 %","0,18 %","2,14","10,27",0,"0,12"
Brazilian Journal of Global Health,100 %,"14,44 %","1,86","0,39",0,0
Revista Española de Medicina Nuclear e Imagen Molecular,"3,48 %","5,06 %","3,86","0,02",0,"0,27"
Beyoglu Eye Journal,"99,2 %","12,71 %","5,29","0,75",0,"0,08"
Journal of Plant Nutrition,"3,93 %","1,2 %","2,57","21,04",0,"0,48"
Folia Endocrinologica Japonica,"99,28 %","98,33 %","50,57","0,1",0,"0,04"
The Indian Journal of Chest Diseases & Allied Sciences,"85,02 %","12,68 %","13,08","2,55",0,"0,04"
Materials Research Express,"69,76 %","0,19 %","3,14","4,12",0,"0,15"
Neural Processing Letters,"16,41 %","1,18 %","2,14","26,71",0,"1,67"
The Korean Journal of Urological Oncology,100 %,"14,29 %","2,43","0,3",0,0
Aquaculture International,"17,07 %","2,62 %","5,29","5,99",0,"0,08"
Indian Journal of Veterinary Pathology,"0,25 %","3,23 %","1,71","0,08",0,0
Journal of Medical Physics,100 %,"9,14 %","3,93","3,65",0,"0,4"
日本公衆衛生雑誌,0 %,"4,8 %","1,71","1,96",0,"5,17"
International Journal of Current Pharmaceutical Research,"99,41 %","4,72 %",4,"0,49",0,0
Asian Pacific Journal of Cancer Biology,100 %,40 %,"9,71","2,28",0,0
International Journal of Oncology Research,"97,92 %","30,77 %","2,29","0,63",0,0
Journal of Dental Anesthesia and Pain Medicine,"95,79 %","6,44 %",3,"3,37",0,"0,92"
Dyes and Pigments,"9,11 %","0,64 %","5,14","15,02",0,"1,19"
Scientia Horticulturae,"13,42 %","6,53 %","52,86","15,28",0,"0,54"
Acupuncture in Medicine,"18,07 %","2,98 %","1,86","4,59",0,"1,02"
Beilstein Journal of Organic Chemistry,100 %,"2,24 %","4,43","9,03",0,"4,32"
Malaysian Journal of Paediatrics and Child Health,"95,53 %","32,74 %","5,29","0,31","0,02",0
Aerospace Medicine and Human Performance,6 %,"3,45 %","5,57","2,34",0,"1,1"
Heart Rhythm O2,100 %,"5,73 %","3,57","7,3",0,"4,71"
Journal of Public Health and Emergency,"89,09 %","6,08 %","2,21","1,04",0,"2,18"
Prirodoobustrojstvo,"0,26 %","4,01 %","2,43","0,5",0,0
B-ENT,100 %,"13,68 %","4,14","0,79",0,0
Health,"98,63 %","4,43 %","4,64","1,09",0,"1,36"
Journal of Hematopathology,"85,35 %","63,73 %","25,86","1,32",0,"1,32"
Ortopedia Traumatologia Rehabilitacja,0 %,"5,88 %","1,86","2,79",0,"0,17"
Soins Pédiatrie/Puériculture,"19,46 %","3,07 %","1,71","0,56",0,"0,55"
Journal Of Medicine & Health,"99,33 %","12,93 %","2,71","0,59",0,0
European Geriatric Medicine,"53,77 %","1,78 %","1,86","4,34",0,"8,94"
Nippon Laser Igakkaishi,100 %,"17,08 %","5,86","0,24",0,"1,52"
Biochemical Engineering Journal,"16,41 %","1,11 %","2,57","10,12",0,"0,76"
International Journal of Drug Delivery Technology,"77,93 %","4,83 %","4,57","0,65",0,0
Turkish Journal of Thoracic and Cardiovascular Surgery,"96,87 %","18,35 %","17,64","2,02",0,"0,53"
Plant Direct,100 %,"10,4 %","8,57","10,56",0,"10,6"
Journal of Neurosurgical Anesthesiology,"17,15 %","5,35 %","4,57","5,5",0,"8,73"
Zentralblatt für Chirurgie - Zeitschrift für Allgemeine Viszeral- Thorax- und Gefäßchirurgie,"1,25 %","6,05 %",14,"1,42",0,"0,24"
American Journal of Occupational Therapy,"28,5 %","1,89 %","8,57","1,19",0,"0,32"
Revista Neurociências,"97,73 %","2,01 %","1,71","0,36",0,0
Breast Care,"88,05 %","8,63 %","6,41","11,13",0,"0,8"
International Journal of Advanced Research,"98,69 %","1,31 %","24,07","0,12",0,0
Minerva Biotechnology and Biomolecular Research,"5,7 %","9,35 %","1,86","1,4",0,0
Global Biosecurity,100 %,15 %,"3,43","1,75",0,"2,52"
Journal of Inorganic and Organometallic Polymers and Materials,"19,3 %","1,24 %","3,86","8,09",0,"0,47"
ChemNanoMat,"26,56 %","1,06 %","1,86","4,47",0,"3,25"
American journal of clinical and experimental urology,0 %,"9,71 %","3,21","6,67",0,"1,45"
Journal of Case Reports,100 %,"4,66 %","2,29","0,3",0,0
Chinese Preventive Medicine,0 %,"4,13 %","11,41","2,39",0,"0,39"
European Journal of Medicinal Chemistry Reports,100 %,"10,77 %",3,"4,16",0,0
Neurological Sciences and Neurophysiology,"95,02 %","13,84 %","4,43","0,76",0,0
Medical Engineering & Physics,"32,24 %","2,25 %","3,43","6,9",0,"0,49"
Trends in Urology & Men's Health,"75,59 %","4,5 %",2,"0,42",0,"5,36"
Neuroscience and Behavioral Physiology,"5,09 %","2,91 %","4,35","1,14",0,"0,02"
International Journal of Molecular and Cellular Medicine,0 %,"23,6 %",6,"5,1",0,"0,91"
Obstetrics and Gynecology,"0,62 %","3,46 %","8,93","0,75",0,0
Clinics in Podiatric Medicine and Surgery,"0,54 %","3,55 %",2,"8,92",0,"0,7"
Indian Journal of Psychiatry,100 %,"1,58 %","3,8","3,48",0,"0,62"
Diyala Journal of Medicine,100 %,"7,95 %","4,52","0,13",0,0
Environmental Chemistry Letters,"27,41 %","2,68 %",2,"52,27",0,"0,79"
Anadolu Kliniği Tıp Bilimleri Dergisi,"99,63 %","6,1 %","2,14",0,0,"0,18"
International Journal of Neurooncology,"0,38 %","19,23 %","2,86","0,22",0,0
Case Reports in Nephrology,100 %,45 %,"12,86","2,84",0,"1,95"
Canadian Liver Journal,"90,85 %","14,67 %","4,71","2,47",0,"1,15"
Journal of Electroanalytical Chemistry,"13,38 %","0,34 %","2,33","12,05",0,"0,47"
Computer Methods in Biomechanics & Biomedical Engineering,32 %,"2,4 %","4,57","7,28",0,"0,95"
Zeitschrift für anorganische und allgemeine Chemie,"48,46 %","1,24 %","3,14","2,7",0,"0,46"
Репродуктивное здоровье Восточная Европа,"58,51 %","15,67 %",6,"0,15",0,0
Eplasty,0 %,"6,3 %","2,43","1,99",0,"0,21"
Chinese Journal of Traumatology,100 %,"3,43 %","2,43","4,13",0,"0,58"
Journal of Radiotherapy in Practice,"27,46 %","15,7 %","10,43","1,43",0,"0,36"
Angiology,"32,98 %","3,81 %","5,86","7,8",0,"0,41"
Agricultural Water Management,"36,29 %","0,5 %","2,29","31,82",0,"0,13"
International Journal of Medical Laboratory,"0,67 %","19,88 %","4,57","0,7",0,0
Annals of Transplantation,"97,49 %","15,57 %","10,86","5,01",0,"0,33"
Journal of Complementary and Integrative Medicine,"9,49 %","2,94 %","2,14","5,52",0,"0,45"
Journal of Materials Science,"14,92 %","0,5 %","5,14","9,39",0,"0,04"
Ceylon Medical Journal,"97,95 %","12,5 %","3,43","1,65",0,"0,49"
Case Reports in Plastic Surgery and Hand Surgery,"99,65 %","10,79 %","3,71","1,62",0,"0,6"
Erciyes Medical Journal,100 %,"8,49 %",7,"0,51",0,0
CHEST Pulmonary,"86,66 %","13,68 %","1,86","0,8",0,"8,91"
Journal of Epilepsy Research,100 %,"16,81 %","2,71","2,28",0,"0,84"
Revista Argentina de Microbiología,100 %,"11,98 %","6,14","5,07",0,"0,95"
Asian Pacific Journal of Tropical Medicine,100 %,"16,2 %","14,86","3,4",0,"0,01"
Infectious diseases News Opinions Training,"99,13 %","7,17 %","2,71","0,33",0,0
International Journal of Surgery Global Health,"98,04 %","7,49 %","4,43","0,48",0,"0,49"
International Journal of Clinical and Experimental Medicine Research,"99,59 %","5,34 %",2,"0,08",0,0
AWWA Water Science,"33,03 %",5 %,"1,86","4,5",0,"1,45"
Zoological Science,"22,3 %","5,58 %","3,43","4,08",0,"1,01"
Foot & Ankle International,"13,51 %","1,43 %","2,71","13,11",0,"3,66"
Clínica Veterinária,0 %,"26,56 %","2,43","0,11",0,0
Cellular and Molecular Bioengineering,"80,4 %","8,16 %","3,43","7,09",0,"8,86"
Perinatology,100 %,"17,33 %","5,57","0,44",0,0
Experimental and Applied Acarology,"33,02 %","5,42 %","5,71","8,28",0,"2,8"
JCEM Case Reports,"97,8 %","36,23 %","25,57","0,48",0,"0,56"
Journal of Microscopy and Ultrastructure,"72,45 %","16,67 %","7,43","12,03",0,"0,31"
The Journal of Contemporary Dental Practice,"98,16 %","4,15 %",8,"3,87",0,"0,45"
Natural Resources Research,"11,17 %","1,52 %",2,"31,25",0,"0,42"
Anesthesiology Clinics,"23,75 %","4,36 %","2,57","7,54",0,"2,51"
International Journal of Africa Nursing Sciences,100 %,"3,19 %",2,"4,9",0,"0,36"
Colloids and Surfaces A Physicochemical and Engineering Aspects,"9,91 %","0,35 %","4,5","15,24",0,"0,25"
Oceanologia,100 %,"6,58 %",3,"6,49",0,"1,71"
Bulgarian Cardiology,100 %,"18,95 %","4,14","0,05","0,09",0
Lviv clinical bulletin,100 %,"13,59 %",2,"0,27",0,0
Research in Pharmaceutical Sciences,100 %,"8,67 %","5,14","6,93",0,"0,73"
Journal of Bioinformatics and Computational Biology,"21,63 %","4,7 %","2,14","2,27",0,"0,32"
JACC Asia,100 %,"3,57 %","2,29","4,61",0,"11,01"
Organometallics,"26,25 %","0,5 %","1,71","18,84",0,"7,92"
International Journal of Radiology and Diagnostic Imaging,"99,6 %","5,71 %",2,"0,07",0,0
Bipolar Disorders,"53,26 %","2,05 %","1,71","10,29",0,"44,81"
Japan Journal of Nursing Science,"24,62 %","3,35 %","1,71","4,58",0,"0,74"
Journal of Medical Signals & Sensors,100 %,"7,37 %",2,"2,09",0,"0,05"
Transplantation Reports,100 %,"12,8 %","2,29","0,69",0,"0,13"
Medical Laboratory Technology Journal,"98,55 %","24,31 %",5,"0,25",0,0
The Pharma Innovation,"99,83 %","1,39 %","2,32","0,36",0,0
Nauka molodykh (Eruditio Juvenium),"99,05 %","5,88 %","2,14","0,59",0,0
encephalitis,100 %,"41,1 %","4,29","0,95",0,"3,8"
European Journal of Remote Sensing,100 %,"2,99 %",2,"5,18",0,"1,74"
Journal of Echocardiography,"22,2 %","12,15 %",5,"3,53",0,"1,18"
Egyptian journal of Immunology,"51,75 %","13,83 %","5,57","3,72",0,"0,52"
ChemPlusChem,"42,61 %","1,59 %","2,43","6,69",0,"2,82"
Journal of Medical Science And clinical Research,"97,08 %","1,61 %","15,29","0,11",0,0
Neurobiology of Learning and Memory,"50,05 %","3,17 %","3,43","5,96",0,"3,75"
The Ukrainian Biochemical Journal,100 %,"4,02 %","2,1","2,07",0,0
Molecular Breeding,"50,09 %","3,47 %","3,57","11,58",0,"0,77"
Air Soil and Water Research,100 %,"10,9 %","2,43","8,27",0,"1,53"
Mesentery and Peritoneum,"84,55 %","6,74 %",13,0,0,0
Médecine des Maladies Métaboliques,"37,11 %","4,88 %","6,43","1,35",0,"0,25"
Brain Injury,"25,68 %","1,64 %","2,86","3,47",0,"0,9"
Southern Clinics of Istanbul Eurasia,100 %,"4,31 %","2,71","0,14",0,0
Kathmandu University Medical Journal,"39,75 %","9,47 %","7,71",1,0,"0,15"
Medical Molecular Morphology,"22,08 %","27,11 %","8,71","5,05",0,"0,47"
Water and Environment Journal,"18,99 %","4,89 %","3,43","7,14",0,"0,1"
Geochemistry International,"7,46 %","2,6 %","2,43","5,57",0,0
Journal of Ophthalmology,100 %,"5,73 %","4,29","0,12",0,0
Journal of Biomaterials Applications,"15,15 %","4,5 %","4,86","10,51",0,"0,6"
Canadian Journal of Veterinary Research,0 %,"10,76 %","3,43","5,24",0,"2,16"
International Journal of Greenhouse Gas Control,"46,54 %","1,18 %","2,29","9,43",0,"1,05"
Journal of Orthopedics & Bone Disorders,"94,39 %","15,38 %",2,"0,05",0,0
Journal of Tuberculosis Research,"98,44 %","88,81 %","18,14","1,26",0,"0,32"
Journal of Cosmetic and Laser Therapy,"8,1 %","6,07 %","2,14","5,02",0,"0,73"
Journal of Applied Physics,"45,13 %","0,11 %","1,71","18,39",0,"1,11"
Surgical Science,"98,64 %","15,5 %","8,86","0,3",0,"0,49"
Asian Journal of Pediatric Research,"96,24 %","31,54 %","16,71","0,18",0,"0,01"
Voprosy praktičeskoj pediatrii,"2,7 %","14,77 %","11,41","0,44",0,0
Journal of Nephrology & Endocrinology Research,100 %,"91,18 %","4,43","0,02",0,0
Foreign Language Science and Technology Journal Database Medicine and Health,0 %,"1,47 %","14,48","0,01",0,0
